rent,price,square,bedrooms,bathrooms,balcony,house_direction,legal_info,furniture,hurried
False,5 tỷ,280.0,5.0,4.0,False,,True,False,False
False,7 tỷ,,3.0,,True,,False,False,False
False,"5,8 tỷ",60.6,3.0,3.0,False,tây,True,False,False
False,"5,8 tỷ",60.6,3.0,3.0,False,tây,True,False,False
False,8.1 tỷ,65.0,2.0,,True,,True,True,False
False,,,,,True,,False,False,False
False,16.8 tỷ,160.0,,2.0,False,,True,False,False
False,14 tỷ,160.0,,,False,,True,False,False
False,,,2.0,2.0,True,,True,False,False
False,,130.0,,,False,,True,False,False
False,3 tỷ,48.0,,,False,,True,False,False
False,2 tỷ,,,,False,,False,False,False
False,2 tỷ,,,,False,,False,False,False
False,,,3.0,3.0,False,,False,True,False
True,5.2 tỷ,110.0,6.0,5.0,True,,True,False,False
False,4 tỷ,45.0,3.0,3.0,True,,True,False,False
False,,,,,False,,True,True,False
False,,53.0,,3.0,True,,True,False,False
False,,,4.0,3.0,True,,True,False,False
False,,70.0,,6.0,False,,True,False,False
False,"4,35 tỷ",56.0,3.0,,False,,True,False,False
False,,43.0,,3.0,False,,True,True,False
False,,,4.0,,False,,True,False,False
False,,50.0,,3.0,True,,True,False,False
False,,110.0,,,False,,False,True,True
False,,,,,True,,False,False,False
False,,,3.0,,False,,True,True,False
False,,,3.0,2.0,False,,True,False,False
False,,,,,False,nam,True,True,False
False,6.8 tỷ,,,3.0,False,,False,False,False
False,7 tỷ,,,,False,,False,False,False
False,,,3.0,,False,,True,True,False
True,1tỷ,30.0,,,False,,True,False,False
False,,,4.0,4.0,True,,True,False,False
True,"4,5 tỷ",71.0,,,False,đông,False,False,False
True,1tỷ,30.0,,,False,,True,False,False
False,5.6 tỷ,,,,False,đông,False,False,False
False,7.2 tỷ,,,,False,đông,False,False,False
False,5.6 tỷ,,,,False,đông,False,False,False
False,,,,,False,,False,False,False
False,5 tỷ,,,,False,đông,False,False,False
False,7.8 tỷ,,,,False,đông,False,False,False
False,,,,,False,,True,False,False
False,5.75 tỷ,,,,False,đông,False,False,False
False,2 tỷ,,,2.0,False,,True,False,False
False,6.15 tỷ,,,,False,đông,False,False,False
False,8 tỷ,,,4.0,False,tây,True,True,False
False,6 tỷ,,,,False,đông,False,False,False
False,5.5 tỷ,,,,False,đông,False,False,False
False,,,,,False,,False,True,False
False,4.68 tỷ,,,,False,đông,False,False,False
False,,,3.0,2.0,False,,True,False,False
False,1 tỷ,,,,False,,False,False,True
False,7 tỷ,,,3.0,False,,True,False,False
True,,,,5.0,False,,False,False,False
False,35 tỷ,200.0,,5.0,False,nam,True,False,True
False,45 tỷ,282.0,,,False,đông,True,False,True
False,5 tỷ,230.0,5.0,4.0,True,,True,False,False
False,,,,,False,,False,True,False
False,70tỷ,282.0,,,False,,True,True,True
True,20 triệu,,8.0,,False,,True,False,False
False,,110.0,,,False,,False,False,False
False,,,3.0,2.0,False,,True,False,False
False,6.6 tỷ,,3.0,3.0,False,tây,True,True,False
False,,76.0,,,False,đông,True,True,False
False,,56.0,,5.0,False,,True,True,False
False,8 tỷ,270.0,,,False,,False,False,False
False,,41.0,,,False,,True,True,False
False,,,,,True,,True,True,True
False,,,3.0,1.0,False,,True,False,False
False,6tỷ,82.0,3.0,,False,,True,False,False
False,5 tỷ,78.0,,3.0,False,,True,False,False
False,"4,7 tỷ",63.0,,,False,đông,True,False,False
False,6.x tỷ,62.0,,2.0,False,,True,True,False
False,,,1.0,4.0,False,,True,True,False
False,2tỷ,40.0,3.0,,False,,False,True,False
False,"5,38 tỷ",78.0,3.0,4.0,False,,True,False,True
False,4 tỷ,64.0,4.0,5.0,True,,False,False,False
True,6 tỷ,100.0,,,False,,False,False,False
False,,,,,False,,True,False,False
False,,,,,False,,True,False,False
True,,,,,True,tây,False,False,False
False,,,,,False,nam,True,True,False
True,,,4.0,5.0,False,,True,True,False
False,28 triệu,,,,False,,False,False,False
True,1 tỷ,32.0,,,False,,True,False,False
True,1 tỷ,32.0,,,False,,True,False,False
False,7tỷ,66.0,4.0,,True,,True,False,False
False,4.1 tỷ,44.0,3.0,,False,đông,False,False,False
False,4 tỷ,,,,False,,True,True,False
False,"9,1 tỷ",,,5.0,False,,False,False,False
False,"7,2 tỷ",,3.0,,False,,False,False,False
False,"4,2 tỷ",48.0,2.0,2.0,False,,True,False,False
False,38 tỷ,,,8.0,False,,False,False,False
False,27 tỷ,,,,False,,False,False,False
False,,,2.0,2.0,False,,True,True,False
False,13.5 tỷ,61.0,,,False,nam,True,True,False
True,3 tỷ,51.0,3.0,2.0,True,,True,False,False
False,4.2 tỷ,55.0,,,False,,True,False,False
False,,,4.0,3.0,False,,False,False,False
False,,60.0,,2.0,False,,True,False,False
False,,,,,False,đông,False,False,False
False,4.2 tỷ,55.0,,,False,,True,False,False
False,"4,9 tỷ",,3.0,4.0,False,,False,False,False
False,"7,3 tỷ",,5.0,7.0,False,,False,False,False
False,"7,3 tỷ",,5.0,7.0,False,,False,False,False
False,5.x tỷ,55.0,,,False,đông,True,False,False
False,"7,2 tỷ",,,2.0,False,đông,False,False,False
False,4 tỷ,,,,False,bắc,True,False,False
False,4 tỷ,40.0,,,False,,True,False,False
False,2 tỷ,80.0,3.0,2.0,False,,True,False,False
False,,,4.0,,False,tây,False,False,True
False,"3,5 tỷ",66.0,6.0,3.0,False,đông,True,False,True
False,,,3.0,2.0,False,,True,False,False
False,"3,3 tỷ",120.0,3.0,2.0,False,,True,False,False
False,,,2.0,2.0,False,,True,False,False
False,,,2.0,2.0,False,,True,False,False
False,5 tỷ,50.0,,,False,tây,True,False,False
False,"1,9 tỷ",18.0,,,False,,True,False,False
False,,,,1.0,True,,True,False,False
False,"17,5 tỷ",182.46,,,False,nam,True,False,False
False,16 tỷ,173.8,,,False,đông,True,False,False
False,2 tỷ,22.0,,,False,,True,False,False
False,7 tỷ,120.0,3.0,,False,,True,False,True
False,7.x tỷ,,3.0,3.0,False,,True,False,False
False,7.x tỷ,,3.0,3.0,False,,True,False,False
False,11.8 tỷ,128.0,,,False,,True,False,False
False,6.1 tỷ,72.0,5.0,6.0,False,,True,False,True
False,,,5.0,6.0,False,,True,True,False
False,6 tỷ,215.0,,,False,tây,True,False,True
False,14tỷ,,4.0,5.0,True,,True,True,False
False,3 tỷ,,,,False,,False,False,False
False,,,,,False,,True,False,False
False,"5,1 tỷ",62.0,,,False,đông,True,False,False
False,,,5.0,2.0,False,,True,False,False
False,6.2 tỷ,,,,False,đông,False,False,False
False,7.4 tỷ,,,,False,đông,False,False,False
False,4 tỷ,44.0,,,False,đông,False,True,False
False,5.9 tỷ,,,,False,đông,False,False,False
False,6.8 tỷ,,,,False,đông,False,False,False
False,7.5 tỷ,,,,False,đông,False,False,False
False,2tỷ,,,5.0,True,,True,True,True
False,5.2 tỷ,,,,False,đông,False,False,False
False,4 tỷ,54.0,,,False,,False,False,True
False,3tỉ,,,,False,đông,True,False,True
False,,75.0,6.0,7.0,False,,True,True,True
False,,88.0,,2.0,False,,True,False,False
False,4.6tỷ,74.0,,,False,,True,False,False
False,7 tỷ,52.0,6.0,3.0,True,đông,True,False,True
False,,,2.0,2.0,True,,True,False,False
False,6.2 tỷ,64.0,,5.0,False,đông,True,False,False
False,6.5 tỷ,60.0,5.0,6.0,False,,True,True,True
False,,110.0,,,False,tây,False,False,False
False,4tỷ,,,,False,,True,False,False
False,,,4.0,3.0,False,,True,False,False
False,,,2.0,3.0,False,,True,False,False
False,,57.0,,2.0,False,đông,True,False,False
False,,,,,False,tây,True,False,False
False,,,,,False,đông,True,True,False
False,2.x tỷ,34.0,,,False,,False,False,False
False,,100.0,,,False,,True,False,False
False,3.05 tỷ,,,,True,tây,False,True,False
False,,,,,False,,True,False,False
False,"4,5 tỷ",65.0,4.0,,False,,False,True,False
False,6.x tỷ,,3.0,,False,,True,False,False
False,,,,,False,,True,True,False
False,,,5.0,,False,,True,True,False
False,,,4.0,,False,,True,False,False
False,70 tỷ,67.0,8.0,8.0,False,đông,False,False,False
False,,38.0,,2.0,False,,False,True,False
False,,,2.0,3.0,True,,True,False,False
True,"4,98 tỷ",75.0,5.0,4.0,True,,True,False,False
False,,62.0,,,False,,True,False,False
False,,,1.0,2.0,True,,False,False,False
False,9 triệu,52.0,3.0,,False,,True,False,True
False,9 tỷ,72.0,5.0,4.0,False,đông,True,False,False
False,2.85 tỷ,,,,False,,True,False,False
False,,,,,True,,True,False,False
False,9 triệu,52.0,3.0,,False,,True,False,True
False,11.5 tỷ,84.0,8.0,,False,tây,True,False,True
False,3tỉ,30.45,,,False,,True,False,False
False,6 tỷ,,,,False,,True,False,False
False,"4,8 tỷ",,3.0,,False,,False,False,False
False,50 triệu,80.0,,3.0,False,đông,True,False,False
False,50 triệu,80.0,,3.0,False,đông,True,False,False
True,4 tỷ,52.0,2.0,,False,đông,False,False,False
False,,,,,False,,True,False,False
False,5.3 tỷ,,,,False,đông,False,False,False
False,18.5 tỷ,,,,False,,False,False,False
False,5.6 tỷ,,,,False,đông,False,False,False
False,945 triệu,90.0,,1.0,False,,True,False,False
False,2 tỷ,37.8,,,False,,True,False,False
False,,30.2,,,False,,True,False,False
False,3tỉ,30.45,,,False,,True,False,True
False,"6,3 tỷ",,,,False,,True,True,False
False,,50.0,,2.0,False,,True,True,False
False,100 tỷ,,,,False,,False,True,False
False,170 triệu,280.0,38.0,,False,,False,False,False
False,7.9 tỷ,120.0,,4.0,False,tây,True,True,True
False,8 tỷ,80.0,,,False,đông,True,False,False
False,2 tỷ,60.0,,,False,,True,False,True
False,,,2.0,1.0,False,,True,False,False
False,,47.0,,,False,,True,False,False
False,7.3 tỷ,64.0,4.0,3.0,False,đông,True,True,False
False,5 tỷ,,,,False,nam,False,False,False
False,,,,,False,,True,False,False
False,,44.0,,,False,bắc,True,False,False
False,"3,7 tỷ",49.0,,2.0,True,đông,True,False,False
True,,76.0,,,False,,False,False,False
False,"3,6 tỷ",48.0,,2.0,True,đông,True,False,False
False,,,4.0,4.0,False,,True,False,False
False,"3,7 tỷ",,,3.0,False,,False,False,False
False,"4,9 tỷ",,3.0,4.0,False,đông,False,False,False
False,4 tỷ,45.0,3.0,2.0,True,,True,False,True
False,,,,,False,,True,False,True
False,14 tỷ,108.0,,,False,tây,True,False,True
False,,,2.0,2.0,False,,True,True,False
False,380 triệu,179.0,,,False,,False,False,False
False,42triệu,,,,False,,False,False,False
False,4 tỷ,45.0,3.0,2.0,True,,True,False,True
False,8.9 tỷ,80.0,,,False,,True,False,True
False,7.5 tỷ,112.0,,3.0,False,tây,True,False,True
False,13tỷ,92.0,,,False,nam,True,False,True
False,,,2.0,2.0,False,,True,False,False
True,7.x tỷ,,5.0,4.0,False,,True,True,False
False,5 tỷ,,3.0,3.0,True,,True,False,False
False,5 tỷ,,3.0,3.0,True,,True,False,False
False,,90.0,,,False,,True,False,False
False,"4,1 tỷ",56.0,3.0,2.0,True,đông,False,False,False
False,"9,7 tỷ",,,,False,,True,False,False
True,"5,6 tỷ",,5.0,,False,,False,False,False
False,"5,8 tỷ",,,4.0,False,,False,False,False
False,,60.0,,2.0,False,,True,False,False
False,,60.0,,2.0,False,,True,False,False
False,"3,55 tỷ",40.0,,2.0,True,đông,True,False,False
False,,55.0,,2.0,False,,False,False,False
False,,,,,False,,True,True,False
False,5.5 tỷ,,,,False,đông,False,False,False
False,5.5 tỷ,,,,False,đông,False,False,False
False,,,2.0,2.0,False,,True,False,False
False,,,2.0,2.0,False,,True,False,False
False,5.9 tỷ,,,,False,đông,False,False,False
False,8 tỷ,,,,False,,False,True,False
False,75 tỷ,184.0,,,False,,False,False,False
False,10 tỷ,147.0,,,False,đông,False,False,False
False,"6,8 tỷ",,,3.0,True,,True,True,False
False,"6,8 tỷ",,,3.0,True,,True,True,False
False,1.2 tỷ,,2.0,,True,,True,False,False
False,,,2.0,2.0,True,,True,False,False
False,,34.0,,,False,,True,False,False
False,3.5tỷ,,,,False,,False,False,True
False,,,2.0,,False,,True,False,False
True,,,2.0,2.0,False,,True,False,False
False,5 tỷ,70.0,5.0,5.0,False,đông,True,False,True
False,,34.0,,,False,,True,False,False
False,,,4.0,5.0,False,tây,True,False,False
False,2 tỷ,26.0,,,False,,True,False,True
False,7.5 tỷ,103.0,,,False,,True,False,False
False,,53.0,,,False,,True,True,False
False,4.6 tỷ,52.0,,,False,đông,False,False,False
False,"5,95 tỷ",,2.0,3.0,True,đông,False,False,False
False,4.5 tỷ,66.0,,,False,nam,True,False,True
False,3.8 tỷ,48.0,,2.0,False,,True,False,False
False,3.8 tỷ,48.0,,2.0,False,,True,False,False
True,,91.0,,,False,,True,False,False
False,,115.0,,3.0,False,,True,False,False
False,,,,3.0,False,,True,False,False
False,,,,3.0,False,,True,False,False
False,4tỉ,110.0,3.0,3.0,True,bắc,False,False,True
False,4 tỷ,,,,False,tây,True,False,False
False,17 tỷ,168.0,,,False,,False,False,True
False,17 tỷ,168.0,,,False,,False,False,True
False,4 tỷ,93.0,,,False,,True,False,False
False,4 tỷ,93.0,,,False,,True,False,False
False,"1,9 tỷ",23.0,,,True,,True,False,True
False,,,3.0,,False,,True,True,True
False,,64.0,3.0,,True,,True,True,True
False,,,,,True,,True,False,False
False,,,,,True,,True,False,False
False,"3,3 tỷ",57.0,,,False,,False,False,False
False,"5,2 tỷ",,,4.0,False,,True,False,False
False,,,3.0,3.0,False,,False,False,False
False,,60.0,,2.0,False,bắc,True,False,False
False,"3,1 tỷ",116.0,,,False,,False,False,False
False,,,3.0,,True,,True,False,True
False,"3,4 tỷ",48.0,,,False,đông,False,False,False
False,7 tỷ,100.0,,,False,,True,False,False
False,7 tỷ,100.0,,,False,,True,False,False
False,,,,,False,,True,False,False
False,2 tỷ,,,,False,tây,False,False,False
False,,,,,False,,False,False,False
False,,,,,False,đông,True,False,False
True,2.17 tỷ,55.0,3.0,2.0,True,,True,False,False
True,2 tỷ,30.0,,2.0,False,,True,False,False
False,,,,,False,,True,True,False
False,,,2.0,2.0,True,,True,False,False
False,1.89 tỷ,,,,False,nam,True,False,False
False,5 tỷ,60.0,,,False,,True,False,False
False,,60.0,,,False,,True,False,False
False,3 tỷ,25.0,5.0,3.0,False,,False,False,True
False,"3,9 tỷ",76.0,3.0,2.0,False,,False,False,False
False,"3,9 tỷ",76.0,3.0,2.0,False,,False,False,False
False,,,,,False,,True,False,True
False,,,,,False,,True,True,True
False,1 tỷ,,3.0,2.0,False,,True,False,False
False,"4,5tỷ",,,,False,đông,False,False,False
False,11 tỷ,90.0,,5.0,True,,True,True,False
False,,53.0,,4.0,False,,True,False,True
False,7.5 tỷ,80.0,5.0,5.0,True,,True,True,True
False,5 tỉ,,2.0,3.0,True,,True,False,False
False,5.2 tỷ,88.0,3.0,2.0,False,,True,False,True
False,,72.0,,,False,,True,False,True
False,,,4.0,,True,,True,False,False
False,,82.0,3.0,3.0,False,,False,False,False
False,,,2.0,2.0,True,,True,False,False
False,2 tỷ,47.0,,,False,,False,False,False
True,,,,,False,,True,False,False
False,,48.0,,,False,,True,False,False
False,"3,45 tỷ",40.0,2.0,,False,,False,False,False
False,19 tỷ,233.4,5.0,3.0,False,đông,True,False,False
False,5.5 tỷ,53.7,,,False,nam,True,False,False
False,,48.0,,,False,,True,False,False
False,,,,,False,nam,True,False,False
False,,,,,True,,True,False,False
False,8 tỷ,,,7.0,False,,False,False,False
False,"4,2 tỷ",,,,False,,False,False,False
False,1 tỷ,,,1.0,True,,True,False,False
True,,,,,False,,True,False,False
False,"3,1 tỷ",60.0,2.0,2.0,False,đông,True,False,False
False,5.2 tỷ,80.0,2.0,2.0,False,,False,False,False
False,5.2 tỷ,80.0,2.0,2.0,False,,False,False,False
False,5.2 tỷ,80.0,2.0,2.0,False,,False,False,False
False,,42.0,,2.0,False,,True,False,False
False,,55.0,4.0,3.0,True,,True,False,False
False,,42.0,,2.0,False,,True,False,False
False,6 tỷ,82.0,,,False,,True,False,False
False,4tỷ,,,,False,đông,True,False,False
False,"14,9 tỷ",,,,False,,True,False,False
False,16 tỷ,,2.0,2.0,True,đông,True,False,True
False,4 tỷ,56.0,,,False,bắc,False,False,False
False,,,,,False,đông,False,True,False
False,10 tỷ,,4.0,5.0,False,,True,False,False
False,"8,5 tỷ",58.0,5.0,,True,,True,False,False
False,,160.0,,,False,,True,False,False
False,,,4.0,5.0,True,,True,False,False
False,,56.0,4.0,3.0,True,,True,False,False
False,11 tỷ,,,,False,,False,False,False
False,"3,7 tỷ",60.0,3.0,3.0,False,,True,False,False
False,"3,35 tỷ",52.0,2.0,2.0,False,,True,False,False
False,8 tỷ,,4.0,,False,,True,True,False
False,6.5tỷ,90.0,,,False,,True,False,True
False,5tỷ,,,,False,,True,False,False
False,3tỷ,,3.0,,False,,False,False,False
False,,,2.0,2.0,False,,False,False,False
False,6.35 tỷ,115.0,5.0,,False,,True,False,False
False,4.45 tỷ,36.0,,2.0,False,,False,False,False
False,,86.0,4.0,5.0,False,,True,False,False
False,,,1.0,1.0,False,,True,False,False
False,6.5 tỷ,63.0,,4.0,False,đông,True,False,True
False,6.5 tỷ,63.0,,4.0,False,đông,True,False,True
False,,,,,False,đông,False,True,False
False,,,,,False,,False,True,True
False,4tỉ,,,,False,,True,False,False
False,4 tỷ,,,,False,,True,False,False
False,6.1 tỷ,45.0,4.0,6.0,False,,True,False,False
False,,,,,False,,True,False,False
False,6.3 tỷ,,,,False,,True,False,False
False,,55.0,2.0,2.0,False,,True,False,False
False,,61.0,3.0,2.0,False,đông,False,False,False
False,,61.0,3.0,2.0,False,đông,False,False,False
False,5.3 tỷ,,2.0,2.0,False,,True,False,False
False,"4,6 tỷ",52.0,4.0,3.0,False,tây,True,False,False
False,,,,,False,,True,False,False
False,5.9 tỷ,,4.0,3.0,False,tây,True,False,False
False,,86.2,,,False,đông,True,False,False
False,4.2 tỷ,64.0,3.0,,False,,True,False,False
True,7.7 tỷ,95.0,4.0,2.0,True,,True,False,False
False,,,3.0,,False,,False,True,True
False,7.5 tỷ,,8.0,8.0,False,,False,False,False
False,"3,35 tỷ",,3.0,2.0,False,,True,False,False
False,3.3 tỷ,50.0,,,False,,True,False,False
False,4 tỷ,65.0,,,False,đông,False,False,False
False,4 tỷ,65.0,,,False,đông,False,False,False
False,2 tỷ,,,,False,,False,False,False
False,3tỷ,,,,False,,False,False,False
False,3tỷ,50.0,,,False,,True,False,True
False,,34.0,2.0,2.0,False,,False,False,False
False,"8,8 tỷ",,2.0,,False,đông,True,False,False
False,4.35 tỷ,,3.0,2.0,True,,True,False,False
False,,240.5,,6.0,False,,False,False,False
False,13 tỷ,273.0,,,False,,False,False,True
False,"10,6 tỷ",,3.0,3.0,False,,False,False,False
False,7.1 tỷ,,,3.0,False,,False,False,False
False,,,,,True,đông,True,False,False
False,,,3.0,2.0,False,,True,False,False
False,7 tỷ,68.0,5.0,6.0,False,tây,False,True,True
False,3 tỷ,32.0,,1.0,False,,False,False,False
False,3 tỷ,32.0,,1.0,False,,False,False,False
False,,50.1,2.0,2.0,False,,True,False,False
False,3.1tỷ,,3.0,2.0,True,,True,False,False
False,"3,8 tỷ",73.0,,2.0,False,,True,False,False
False,4 tỷ,70.0,3.0,,False,tây,True,False,False
False,54 tỷ,590.0,,,False,,False,False,False
False,13tỷ,,10.0,,False,nam,True,True,False
False,13tỷ,,10.0,,False,nam,True,True,False
False,,,4.0,3.0,False,,True,False,False
False,"5,5 tỷ",,,,False,,True,False,False
False,,,,,False,,True,False,True
False,4 tỷ,40.0,2.0,,False,,False,False,False
False,3 tỷ,,3.0,,False,,False,False,False
False,3.6 tỷ,,3.0,3.0,False,,True,True,False
False,,,2.0,2.0,True,,True,False,False
False,,,2.0,2.0,True,,True,False,False
True,"3,5 tỷ",,,,False,,True,False,False
False,4 tỷ,,2.0,,False,,True,False,False
False,4 tỷ,,,,False,tây,False,False,False
False,,,3.0,,False,,False,False,True
False,"3,7 tỷ",53.0,4.0,,True,đông,True,False,False
True,,,,,False,,True,False,False
False,"3,3 tỷ",44.0,2.0,2.0,False,đông,True,False,False
False,,,4.0,3.0,False,,True,False,False
False,,72.0,4.0,3.0,True,,True,False,False
True,"5,3 tỷ",92.0,4.0,,True,đông,True,False,False
False,,,4.0,,False,,True,False,False
False,6.52 tỷ,,,4.0,False,tây,True,False,False
False,16 tỷ,,,,False,,True,True,False
False,"3,1 tỷ",43.0,2.0,2.0,False,đông,True,False,False
True,7tỷ,,7.0,7.0,False,,False,False,False
False,,,,,False,,True,False,True
False,,105.0,,,False,,True,False,False
False,,96.0,4.0,5.0,True,,True,True,False
False,4 tỷ,65.0,,,False,đông,False,False,False
False,4 tỷ,65.0,,,False,đông,False,False,False
False,,52.0,4.0,2.0,False,,True,False,False
False,4 tỷ,52.0,2.0,2.0,False,,True,False,False
False,6 tỷ,,,,False,đông,True,False,False
False,16 tỷ,,,6.0,False,,False,False,False
False,,,,,False,,True,True,False
False,,76.0,,,False,,True,False,False
False,5 tỷ,66.0,3.0,2.0,False,đông,True,False,True
False,38 tỷ,240.0,,,False,,False,False,False
False,6 tỷ,30.0,3.0,,False,,True,False,True
False,17 tỷ,,,,False,,False,False,False
False,"4,9 tỷ",,4.0,4.0,False,,True,False,False
False,,,,,False,đông,True,True,False
False,,,,,False,đông,True,True,False
False,,78.0,4.0,,False,,False,True,False
False,"3,45 tỷ",34.0,3.0,4.0,True,đông,False,False,False
False,,50.0,2.0,,False,,True,False,False
