rent,price,square,bedrooms,bathrooms,balcony,house_direction,legal_info,furniture,hurried,floors,basement
False,4 tỷ,,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,5,False
False,,,,,False,,False,False,False,5,False
False,,64.0,,,False,nam,False,False,False,2,False
False,"4,1 tỷ",52.0,,,False,,False,False,False,2,False
False,3.5 tỷ,,,,False,,False,False,False,0,False
False,3.x tỷ,50.0,,,False,,False,False,False,2,False
False,,85.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,5.0,4.0,False,,False,False,False,4,False
False,6.7tỷ,,,,False,,False,True,False,0,False
False,"5,8 tỷ",,,,False,,False,False,False,3,False
False,"5,8 tỷ",,,,False,,False,False,False,3,False
False,,65.0,,,False,,False,True,False,0,False
False,3.75 tỷ,,,,False,,False,False,False,0,False
False,,160.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,5.x tỷ,60.0,,,False,,False,False,False,2,False
False,,130.0,,,False,,False,False,False,0,False
False,3 tỷ,48.0,,,False,,False,False,False,0,False
False,2.6 tỷ,35.0,,,False,,False,False,False,2,False
False,2 tỷ,,,,False,,False,False,False,0,False
False,7 tỷ,,,,False,,False,False,False,4,False
True,,,6.0,5.0,False,,False,False,False,4,False
False,4 tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,6.4 tỷ,53.0,,,False,,False,False,False,3,False
False,4.x tỷ,,,,False,,False,False,False,3,False
False,1.8 tỷ,70.0,,,False,,False,False,False,5,False
False,"4,35 tỷ",56.0,,,False,,False,False,False,4,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,7 tỷ,50.0,,,False,,True,False,False,4,False
False,,,,,False,,False,False,False,6,False
False,,,,,False,,False,False,False,0,False
False,1tỷ,36.4,,,False,,True,False,False,0,False
False,4.x tỷ,40.0,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
False,6.8 tỷ,,,,False,,False,False,False,0,False
False,7 tỷ,,,,False,,False,False,False,0,False
False,1tỷ,36.4,,,False,,True,False,False,0,False
False,1tỷ,30.0,,,False,,True,False,False,0,False
False,6 tỷ,73.0,,,False,,False,False,False,4,False
False,"4,5 tỷ",71.0,,,False,,False,False,False,2,False
False,1tỷ,30.0,,,False,,True,False,False,0,False
False,5.6 tỷ,,,,False,,False,False,False,3,False
False,7.2 tỷ,,,,False,,False,False,False,0,False
False,5.6 tỷ,,,,False,,False,False,False,2,False
False,,37.0,,,False,,False,False,False,0,False
False,5 tỷ,,,,False,,False,False,False,1,False
False,7.8 tỷ,,,,False,,False,False,False,4,False
False,4.95 tỷ,,,,False,,False,False,False,3,False
False,5.75 tỷ,,,,False,,False,False,False,4,False
False,2 tỷ,,,,False,,True,False,False,0,False
False,6.15 tỷ,,,,False,,False,False,False,4,False
False,8 tỷ,,,,False,,False,False,False,1,False
False,6 tỷ,,,,False,,False,False,False,3,False
False,5.5 tỷ,,,,False,,False,False,False,1,False
False,2tỷ,42.0,,,False,,True,False,True,0,False
False,4.68 tỷ,,,,False,,False,False,False,3,False
False,3.x tỷ,70.0,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
False,7 tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,4,False
False,,,,,False,nam,False,False,False,5,False
False,,,,,False,,False,False,False,0,False
False,,,,4.0,False,,False,False,False,0,False
False,2tỷ,57.0,,,False,,True,False,False,0,False
False,70tỷ,282.0,,,False,,False,False,False,6,True
False,4tỷ,,8.0,,False,,False,False,False,5,False
False,,,,,False,,False,False,False,0,False
False,4.x tỷ,60.0,,,False,,False,False,False,2,False
False,6.6 tỷ,,,,False,,False,True,False,2,False
False,,,,,False,,False,False,False,0,False
False,7 tỷ,56.0,,,False,,False,False,False,5,False
False,8 tỷ,270.0,,,False,,False,False,False,0,False
False,6.4 tỷ,41.0,,,False,,False,False,True,5,False
False,2.15 tỷ,17.0,,,False,,False,False,True,3,False
False,4 tỷ,,,,False,,False,False,False,4,False
False,6tỷ,82.0,3.0,,False,,False,False,False,3,False
False,5 tỷ,78.0,,,False,,False,False,False,0,False
False,,63.0,,,False,đông,False,False,False,0,False
False,6.x tỷ,62.0,,,False,,False,True,False,2,False
False,2tỷ,20.0,,,False,,False,False,False,0,False
False,2 tỷ,40.0,,,False,,True,False,False,0,False
False,,78.0,3.0,4.0,False,,False,False,True,2,False
False,4 tỷ,64.0,,,False,,False,False,False,0,False
False,6 tỷ,100.0,,,False,,False,False,False,5,False
False,3.x tỷ,45.0,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
False,6.2 tỷ,,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,4,False
False,28 triệu,,,,False,,False,False,False,0,False
False,1 tỷ,,,,False,,True,False,False,2,False
False,1 tỷ,,,,False,,True,False,False,2,False
False,,66.0,,,False,,False,False,False,0,False
False,4.1 tỷ,44.0,,,False,đông,False,False,False,3,False
False,4 tỷ,48.0,,,False,,False,False,True,0,False
False,"9,1 tỷ",,,,False,,False,False,False,3,False
False,"7,2 tỷ",,3.0,,False,,False,False,False,0,False
False,"4,2 tỷ",48.0,,,False,,False,False,False,2,False
False,38 tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,True
False,3.x tỷ,40.0,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
True,,,,,False,,False,False,False,2,False
False,4.2 tỷ,55.0,,,False,,False,False,False,0,False
False,2tỷ,34.6,,,False,,False,False,False,0,False
False,6tỷ,60.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,4.2 tỷ,55.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,3,False
False,5.x tỷ,55.0,,,False,,False,False,False,0,False
False,"7,2 tỷ",,,,False,,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,0,False
False,4 tỷ,40.0,3.0,,False,,False,False,False,3,False
False,2 tỷ,,3.0,,False,,False,False,False,2,False
False,"1,2 tỷ",,,,False,,False,False,False,0,False
False,3 tỷ,,,,False,,False,False,False,3,False
False,,57.0,,,False,,False,False,False,2,False
False,"3,3 tỷ",,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
