post_code,post_date,district,square,bedroom,bathroom,house_direction,has_balcony,has_furniture,has_legal_info,is_hurried,floor,has_basement,house_type,price
278619,"[datetime.datetime(2023, 9, 20, 10, 22)]",Tân Phú,52.0,2.0,2.0,,False,False,True,False,6,False,nhà riêng,3.5
278605,"[datetime.datetime(2023, 9, 20, 11, 26)]",Phú Nhuận,25.6,,,,False,False,True,True,5,False,nhà riêng,3.0
278604,"[datetime.datetime(2023, 9, 20, 11, 35)]",Phú Nhuận,30.45,4.0,6.0,,False,False,True,True,4,False,nhà riêng,3.0
278603,"[datetime.datetime(2023, 9, 20, 11, 39)]",Phú Nhuận,32.0,2.0,2.0,,True,False,True,False,2,False,nhà riêng,1.9
278601,"[datetime.datetime(2023, 9, 20, 11, 57)]",Bình Thạnh,81.0,4.0,4.0,,False,False,True,False,2,False,nhà riêng,6.5
278597,"[datetime.datetime(2023, 9, 20, 13, 58)]",Phú Nhuận,122.6,,,,False,False,True,False,4,False,nhà riêng,4.0
278592,"[datetime.datetime(2023, 9, 20, 14, 16)]",Gò Vấp,41.0,4.0,3.0,,False,True,True,True,5,False,nhà riêng,5.3
278586,"[datetime.datetime(2023, 9, 20, 14, 24)]",Thủ Đức,60.0,5.0,4.0,,True,False,True,False,4,False,nhà riêng,4.8
278585,"[datetime.datetime(2023, 9, 20, 14, 26)]",Thủ Đức,60.0,3.0,4.0,,False,False,True,True,4,False,nhà riêng,5.0
278584,"[datetime.datetime(2023, 9, 20, 14, 38)]",Thủ Đức,84.0,4.0,3.0,,True,False,True,False,3,False,nhà riêng,7.8
278574,"[datetime.datetime(2023, 9, 20, 15, 4)]",Bình Thạnh,56.0,6.0,7.0,,False,False,True,False,5,False,nhà riêng,7.9
278570,"[datetime.datetime(2023, 9, 20, 15, 24)]",Quận 6,30.0,1.0,1.0,đông,False,False,True,False,2,False,nhà riêng,2.0
278567,"[datetime.datetime(2023, 9, 20, 15, 55)]",Tân Phú,120.0,5.0,5.0,đông,False,False,False,True,5,False,nhà mặt phố,10.9
278557,"[datetime.datetime(2023, 9, 20, 17, 36)]",Quận 9,70.0,4.0,3.0,,False,False,True,True,4,False,nhà riêng,6.2
278553,"[datetime.datetime(2023, 9, 20, 20, 18)]",Bình Tân,120.0,2.0,2.0,nam,True,False,True,False,4,False,nhà mặt phố,4.85
278552,"[datetime.datetime(2023, 9, 20, 21, 8)]",Thủ Đức,140.0,,,,False,False,True,False,5,True,nhà mặt phố,29.0
278550,"[datetime.datetime(2023, 9, 20, 22, 1)]",Bình Tân,41.0,2.0,,,False,False,False,False,2,False,nhà riêng,4.5
278548,"[datetime.datetime(2023, 9, 20, 23, 9)]",Bình Tân,72.0,,,nam,False,True,False,True,3,False,nhà riêng,7.0
278547,"[datetime.datetime(2023, 9, 20, 23, 27)]",Bình Tân,60.0,4.0,5.0,,False,False,False,False,4,False,nhà riêng,4.8
278546,"[datetime.datetime(2023, 9, 20, 23, 54)]",Tân Phú,75.0,2.0,,,True,False,True,True,2,False,nhà riêng,5.5
278544,"[datetime.datetime(2023, 9, 21, 5, 58)]",Tân Phú,41.0,3.0,3.0,,True,False,True,False,3,False,nhà mặt phố,4.0
278535,"[datetime.datetime(2023, 9, 19, 11, 20)]",Bình Tân,72.0,4.0,3.0,tây,True,True,True,False,5,False,nhà riêng,5.18
278531,"[datetime.datetime(2023, 9, 19, 11, 38)]",Quận 12,32.0,2.0,1.0,,False,True,True,False,2,False,nhà riêng,1.7
278529,"[datetime.datetime(2023, 9, 19, 11, 48)]",Phú Nhuận,45.0,4.0,4.0,,False,False,True,False,6,False,nhà riêng,3.0
278528,"[datetime.datetime(2023, 9, 19, 12, 3)]",Thủ Đức,160.0,,,đông,False,True,True,False,4,False,nhà riêng,11.0
278525,"[datetime.datetime(2023, 9, 19, 13, 37)]",Phú Nhuận,183.9,4.0,4.0,,False,False,True,False,5,False,nhà riêng,6.0
278519,"[datetime.datetime(2023, 9, 19, 13, 55)]",Quận 9,52.0,3.0,2.0,,False,False,True,True,2,False,nhà riêng,3.3
278514,"[datetime.datetime(2023, 9, 19, 14, 22)]",Bình Thạnh,44.0,4.0,3.0,,False,False,True,False,4,False,nhà riêng,5.9
