url,title,post_code,post_date,district,price,square,bedroom,bathroom
https://batdongsan.vn/ban-nha-binh-thanh-80m2-5pn-5wc-dong-tien-18trthang-r285086,BÁN NHÀ BÌNH THẠNH 80M2 - 5PN 5WC - DÒNG TIỀN 18TR/THÁNG,285086,"[datetime.datetime(2023, 12, 9, 9, 56)]",Bình Thạnh,9.39,80.0,,5.0
https://batdongsan.vn/ha-600tr-nha-hem-6m-thong-lien-khu-4-5-binh-tan-70m25x14-0948362610-r284382,HẠ 600TR NHÀ HẺM 6M THÔNG LIÊN KHU 4-5 BÌNH TÂN 70M2(5X14) 0948362610,284382,"[datetime.datetime(2023, 11, 10, 15, 45)]",Bình Tân,4.7,70.0,,
https://batdongsan.vn/gap-ban-nha-moi-tan-phu-51m2-ngang-dep-hon-4m-no-hau-chi-5-ty-r284381,"Gấp bán nhà mới Tân Phú 51m2, ngang đẹp hơn 4m, nở hậu chỉ 5 tỷ.",284381,"[datetime.datetime(2023, 11, 10, 16, 24)]",Tân Phú,5.0,51.0,4.0,3.0
https://batdongsan.vn/ban-nha-hem-8m-ma-lo-binh-tan-tang-noi-that-xin-52-ty-tl-0948362610-r284377,"BÁN NHÀ HẺM 8M MÃ LÒ, BÌNH TÂN, TẶNG NỘI THẤT XỊN 5,2 TỶ TL 0948362610",284377,"[datetime.datetime(2023, 11, 10, 16, 44)]",Bình Tân,5.2,46.0,,
https://batdongsan.vn/ban-ha-gia-mat-tien-tan-phu-ngay-tan-son-nhi-80m2-5-tang-dinh-kinh-doanh-chi-11-ty-r284376,"Bán hạ giá mặt tiền Tân Phú ngay Tân Sơn Nhì 80m2 5 tầng, đỉnh kinh doanh chỉ 11 tỷ.",284376,"[datetime.datetime(2023, 11, 10, 16, 54)]",Tân Phú,11.0,80.0,6.0,5.0
https://batdongsan.vn/chinh-chu-ket-tien-ngan-hang-ban-gap-nha-trung-tam-hem-duong-nguyen-dinh-chinh-p11-phu-nhuan-r284373,"Chính chủ kẹt tiền ngân hàng bán gấp nhà trung tâm hẻm đường Nguyễn Đình Chính, P.11, Phú Nhuận",284373,"[datetime.datetime(2023, 11, 10, 17, 23)]",Phú Nhuận,3780000000.0,36.0,,
https://batdongsan.vn/ban-nha-c4-60m2-phuong-hiep-binh-chanh-tp-thu-duc-r284369,BÁN NHÀ C4 - 60m2 - Phường Hiệp Bình Chánh - TP Thủ Đức,284369,"[datetime.datetime(2023, 11, 10, 17, 54)]",Thủ Đức,3.0,61.0,2.0,1.0
https://batdongsan.vn/ban-nha-2-tang-hem-5m-ngay-cho-go-xoai-binh-tan-chi-3-ty-tl-0948362610-r284368,"BÁN NHÀ 2 TẦNG HẺM 5M NGAY CHỢ GÒ XOÀI, BÌNH TÂN, CHỈ 3 TỶ TL 0948362610",284368,"[datetime.datetime(2023, 11, 10, 17, 56)]",Bình Tân,3.0,32.0,,
https://batdongsan.vn/ban-nha-1l-48m2-ngay-st-aeonmall-tan-phu-hem-4m-thong-r284367,"BÁN NHÀ 1L, 48M2, NGAY ST AEONMALL - TÂN PHÚ, HẺM 4M THÔNG",284367,"[datetime.datetime(2023, 11, 10, 17, 59)]",Tân Phú,4850000.0,48.0,2.0,2.0
https://batdongsan.vn/ban-nha-dep-ngay-aeon-mall-tan-phu-binh-tan-333-ty-tl-0948362610-r284366,"BÁN NHÀ ĐẸP NGAY AEON MALL TÂN PHÚ, BÌNH TÂN, 3,33 TỶ TL 0948362610",284366,"[datetime.datetime(2023, 11, 10, 18, 55)]",Bình Tân,3.33,49.0,,
https://batdongsan.vn/so-no-hau-ban-nha-cmt8-phuong-5-tan-binh-gan-45m2-gia-chi-4-ty-nhi-r284364,"Sổ NỞ HẬU Bán nhà CMT8 Phường 5 Tân Bình, gần 45m2 giá chỉ 4 tỷ nhí",284364,"[datetime.datetime(2023, 11, 10, 20, 1)]",Tân Bình,4.49,45.0,,
https://batdongsan.vn/ban-nha-nguyen-van-luong-doi-dien-lottemart-go-vap-3pn-40m2-nha-moi-sach-se-39-ty-r284363,Bán nhà Nguyễn Văn Lượng đối diện Lottemart Gò Vấp 3PN 40M2 nhà mới sạch sẽ 3.9 tỷ,284363,"[datetime.datetime(2023, 11, 10, 20, 26)]",Gò Vấp,3.9,40.0,3.0,3.0
https://batdongsan.vn/ban-nha-dt-khung-76m2-ngang-65m-le-duc-tho-go-vap-nhinh-3-ty-r284360,"Bán nhà dt khủng 76m2, ngang 6.5m, Lê Đức Thọ Gò Vấp nhỉnh 3 tỷ",284360,"[datetime.datetime(2023, 11, 10, 21, 9)]",Gò Vấp,3.8,76.0,4.0,3.0
